col1,col2,col3,col4,col5
L416,3061725,436SOMBRA,436_SOM-TRA-INT-1,SOMBRA TRASEIRO INTERNO-1
L417,3060400,437SOMBRA,437_,
L418,3060400,438SOMBRA,438_,
L419,3060400,439SOMBRA,439_,
L420,3070909,440RECORTE,440_REC-1,RECORTE-1
L421,3070909,441RECORTE,441_REC-2,RECORTE-2
L422,3070909,442RECORTE,442_REC-3,RECORTE-3
L423,3070400,443RECORTE,443_,
L424,3071318,444RECORTE,444_REC-BIQ-1,RECORTE BIQUEIRA-1
L425,3071318,445RECORTE,445_REC-BIQ-2,RECORTE BIQUEIRA-2
L426,3070400,446RECORTE,446_,
L427,3071316,447RECORTE,447_REC-GAS-1,RECORTE GASPEA-1
L428,3071316,448RECORTE,448_REC-GAS-2,RECORTE GASPEA-2
L429,3070400,449RECORTE,449_,
L430,3071725,450RECORTE,450_REC-GAS+LIN-1,RECORTE GASPEA+LINGUETA-1
L431,3071725,451RECORTE,451_REC-GAS+LIN-2,RECORTE GASPEA+LINGUETA-2
L432,3070400,452RECORTE,452_,
L433,3071724,453RECORTE,453_REC-GAS+LAT-1,RECORTE GASPEA+LATERAL-1
L434,3071724,454RECORTE,454_REC-GAS+LAT-2,RECORTE GASPEA+LATERAL-2
L435,3070400,455RECORTE,455_,
L436,3070400,456RECORTE,456_,
L437,3071725,457RECORTE,457_REC-GAS+TRA-1,RECORTE GASPEA+TRASEIRO-1
L438,3071725,458RECORTE,458_REC-GAS+TRA-2,RECORTE GASPEA+TRASEIRO-2
L439,3070400,459RECORTE,459_,
L440,3070400,460RECORTE,460_,
L441,3071319,461RECORTE,461_REC-LIN-1,RECORTE LINGUETA -1
L442,3071319,462RECORTE,462_REC-LIN-2,RECORTE LINGUETA -2
L443,3070400,463RECORTE,463_,
L444,3070400,464RECORTE,464_,
L445,3071314,465RECORTE,465_REC-LOG-1,RECORTE LOGO-1
L446,3071314,466RECORTE,466_REC-LOG-2,RECORTE LOGO-2
L447,3070400,467RECORTE,467_,
L448,3071418,468RECORTE,468_REC-ETIQ-1,RECORTE ETIQUETA-1
L449,3071418,469RECORTE,469_REC-ETIQ-2,RECORTE ETIQUETA-2
L450,3070400,470RECORTE,470_,
L451,3071315,471RECORTE,471_REC-VIS-1,RECORTE VISTA-1
L452,3071315,472RECORTE,472_REC-VIS-2,RECORTE VISTA-2
L453,3070400,473RECORTE,473_,
L454,3070400,474RECORTE,474_,
L455,3071317,475RECORTE,475_REC-LAT-1,RECORTE LATERAL-1
L456,3071317,476RECORTE,476_REC-LAT-2,RECORTE LATERAL-2
L457,3071725,477RECORTE,477_REC-LAT-EXT-1,RECORTE LATERAL EXTERNA-1
L458,3071725,478RECORTE,478_REC-LAT-INT-1,RECORTE LATERAL INTERNA-1
L459,3070400,479RECORTE,479_,
L460,3070400,480RECORTE,480_,
L461,3071314,481RECORTE,481_REC-TRA-1,RECORTE TIRA-1
L462,3071314,482RECORTE,482_REC-TRA-2,RECORTE TIRA-2
L463,3070400,483RECORTE,483_,
L464,3070400,484RECORTE,484_,
L465,3041006,485FLAG,485_FLAG-1,FLAG-1
L466,3041006,486FLAG,486_FLAG-2,FLAG-2
L467,3040400,487FLAG,487_,
L468,3041413,488FLAG,488_FLAG-GAS-1,FLAG GASPEA-1
L469,3040400,489FLAG,489_,
L470,3041415,490FLAG,490_FLAG-LIN-1,FLAG LINGUETA-1
L471,3041415,491FLAG,491_FLAG-LIN-2,FLAG LINGUETA-2
L472,3040400,492FLAG,492_,
L473,3041414,493FLAG,493_FLAG-LAT-1,FLAG LATERAL-1
L474,3041414,494FLAG,494_FLAG-LAT-2,FLAG LATERAL-2
L475,3040400,495FLAG,495_,
L476,3041814,496FLAG,496_FLAG-LAT-EXT-1,FLAG EXTERNO-1
L477,3041814,497FLAG,497_FLAG-LAT-INT-1,FLAG INTERNO-1
L478,3041814,498FLAG,498_FLAG-LAT-EXT-2,FLAG EXTERNO-2
L479,3041814,499FLAG,499_FLAG-LAT-INT-2,FLAG INTERNO-2
L480,3040400,500FLAG,500_,
L481,3041415,501FLAG,501_FLAG-TRA-1,FLAG TRASEIRO-1
L482,3041415,502FLAG,502_FLAG-TRA-2,FLAG TRASEIRO-2
L483,3040400,503FLAG,503_,
L484,3040400,504FLAG,504_,
L485,3101012,505ENCHIMENTO,505_ENCH-1,ENCHIMENTO-1
L486,3101012,506ENCHIMENTO,506_ENCH-2,ENCHIMENTO-2
L487,3100400,507ENCHIMENTO,507_,
L488,3101421,508ENCHIMENTO,508_ENCH-BIQ-1,ENCHIMENTO BIQUEIRA-1
L489,3101421,509ENCHIMENTO,509_ENCH-BIQ-2,ENCHIMENTO BIQUEIRA-2
L490,3100400,510ENCHIMENTO,510_,
L491,3101419,511ENCHIMENTO,511_ENCH-GAS-1,ENCHIMENTO GASPEA-1
L492,3101419,512ENCHIMENTO,512_ENCH-GAS-2,ENCHIMENTO GASPEA-2
L493,3100400,513ENCHIMENTO,513_,
L494,3101421,514ENCHIMENTO,514_ENCH-LIN-1,ENCHIMENTO LINGUETA-1
L495,3101421,515ENCHIMENTO,515_ENCH-LIN-2,ENCHIMENTO LINGUETA-2
L496,3101826,516ENCHIMENTO,516_ENCH-LIN-SUP-1,ENCHIMENTO LING-SUPERIOR-1
L497,3101826,517ENCHIMENTO,517_ENCH-LIN-INF-1,ENCHIMENTO LING-INFERIOR-1
L498,3100400,518ENCHIMENTO,518_,
L499,3101418,519ENCHIMENTO,519_ENCH-VIS-1,ENCHIMENTO VISTA-1
L500,3101418,520ENCHIMENTO,520_ENCH-VIS-2,ENCHIMENTO VISTA-2
L501,3101826,521ENCHIMENTO,521_ENCH-VIS-EXT-1,ENCHIMENTO VISTA EXTERNA-1
L502,3101826,522ENCHIMENTO,522_ENCH-VIS-INT-1,ENCHIMENTO VISTA INTERNA-1
L503,3101926,523ENCHIMENTO,523_ENCH-VIS-CENT-1,ENCHIMENTO VISTA CENTRAL-1
L504,3100400,524ENCHIMENTO,524_,
L505,3101517,525ENCHIMENTO,525_ENCH-LOGO-1,ENCHIMENTO LOGO-1
L506,3101517,526ENCHIMENTO,526_ENCH-LOGO-2,ENCHIMENTO LOGO-2
L507,3100400,527ENCHIMENTO,527_,
L508,3101517,528ENCHIMENTO,528_ENCH-FLAG-1,ENCHIMENTO FLAG-1
L509,3101517,529ENCHIMENTO,529_ENCH-FLAG-2,ENCHIMENTO FLAG-2
L510,3100400,530ENCHIMENTO,530_,
L511,3100400,531ENCHIMENTO,531_,
L512,3101420,532ENCHIMENTO,532_ENCH-LAT-1,ENCHIMENTO LATERAL-1
L513,3101420,533ENCHIMENTO,533_ENCH-LAT-2,ENCHIMENTO LATERAL-2
L514,3101828,534ENCHIMENTO,534_ENCH-LAT-EXT-1,ENCHIMENTO LATERAL EXTERNO-1
L515,3101828,535ENCHIMENTO,535_ENCH-LAT-INT-1,ENCHIMENTO LATERAL INTERNO-1
L516,3101828,536ENCHIMENTO,536_ENCH-LAT-EXT-2,ENCHIMENTO LATERAL EXTERNO-2
L517,3101828,537ENCHIMENTO,537_ENCH-LAT-INT-2,ENCHIMENTO LATERAL INTERNO-2
L518,3100400,538ENCHIMENTO,538_,
L519,3100400,539ENCHIMENTO,539_,
L520,3101421,540ENCHIMENTO,540_ENCH-TRA-1,ENCHIMENTO TRASEIRO-1
L521,3101421,541ENCHIMENTO,541_ENCH-TRA-2,ENCHIMENTO TRASEIRO-2
L522,3100400,542ENCHIMENTO,542_,
L523,3101520,543ENCHIMENTO,543_ENHC-BORD-1,ENCHIMENTO BORDADO-1
L524,3101520,544ENCHIMENTO,544_ENHC-BORD-2,ENCHIMENTO BORDADO-2
L525,3101520,545ENCHIMENTO,545_ENHC-BORD-3,ENCHIMENTO BORDADO-3
L526,3101520,546ENCHIMENTO,546_ENHC-BORD-4,ENCHIMENTO BORDADO-4
