col1,col2,col3,col4,col5
L669,3061314,699VELCRO,699_VEL-MAC-3,VELCRO MACHO-3
L670,3061314,700VELCRO,700_VEL-FEM-3,VELCRO FEMEA-3
L671,3061314,701VELCRO,701_VEL-MAC-4,VELCRO MACHO-4
L672,3061314,702VELCRO,702_VEL-FEM-4,VELCRO FEMEA-4
L673,3060400,703VELCRO,703_,
L674,3060400,704VELCRO,704_,
L675,3091010,705ELAヾTICO,705_ELAS-1,ELASTICO-1
L676,3091010,706ELAヾTICO,706_ELAS-2,ELASTICO-2
L677,3090400,707ELAヾTICO,707_,
L678,3091419,708ELAヾTICO,708_ELAS-LIN-1,ELASTICO LINGUETA-1
L679,3091419,709ELAヾTICO,709_ELAS-LIN-2,ELASTICO LINGUETA-2
L680,3090400,710ELAヾTICO,710_,
L681,3091518,711ELAヾTICO,711_ELAS- LAT-1,ELASTICO LATERAL-1
L682,3091926,712ELAヾTICO,712_ELAS- LAT-EXT-1,ELASTICO LATERAL EXTERNO-1
L683,3091926,713ELAヾTICO,713_ELAS- LAT-INT-1,ELASTICO LATERAL INTERNO-1
L684,3091926,714ELAヾTICO,714_ELAS- LAT-EXT-2,ELASTICO LATERAL EXTERNO-2
L685,3091926,715ELAヾTICO,715_ELAS- LAT-INT-2,ELASTICO LATERAL INTERNO-2
L686,3090400,716ELAヾTICO,716_,
L687,3091519,717ELAヾTICO,717_ELAS- TRA-1,ELASTICO TRASEIRO-1
L688,3091519,718ELAヾTICO,718_ELAS- TRA-2,ELASTICO TRASEIRO-2
L689,3090400,719ELAヾTICO,719_,
L690,3050907,720PLACA,720_PLA-1,PLACA-1
L691,3050907,721PLACA,721_PLA-2,PLACA-2
L692,3050907,722PLACA,722_PLA-3,PLACA-3
L693,3050907,723PLACA,723_PLA-4,PLACA-4
L694,3050400,724PLACA,724_,
L695,3050400,725PLACA,725_,
L696,3051316,726PLACA,726_PLA-BIQ-1,PLACA BIQUEIRA-1
L697,3051316,727PLACA,727_PLA-BIQ-2,PLACA BIQUEIRA-2
L698,3050400,728PLACA,728_,
L699,3051316,729PLACA,729_PLA-LIN-1,PLACA LINGUETA-1
L700,3051316,730PLACA,730_PLA-LIN-2,PLACA LINGUETA-2
L701,3051725,731PLACA,731_PLA-LIN-SUP-1,PLACA LINGUETA SUPERIOR-1
L702,3051725,732PLACA,732_PLA-LIN-INF-1,PLACA LINGUETA INFERIOR-1
L703,3050400,733PLACA,733_,
L704,3051313,734PLACA,734_PLA-VIS-1,PLACA VISTA-1
L705,3051313,735PLACA,735_PLA-VIS-2,PLACA VISTA-2
L706,3051721,736PLACA,736_PLA-VIS-EXT-1,PLACA VISTA EXTERNA-1
L707,3051721,737PLACA,737_PLA-VIS-INT-1,PLACA VISTA INTERNA-1
L708,3051821,738PLACA,738_PLA-VIS-CENT-1,PLACA VISTA CENTRAL-1
L709,3050400,739PLACA,739_,
L710,3051315,740PLACA,740_PLA-LAT-1,PLACA LATERAL-1
L711,3051315,741PLACA,741_PLA-LAT-2,PLACA LATERAL-2
L712,3051315,742PLACA,742_PLA-LAT-3,PLACA LATERAL-3
L713,3051724,743PLACA,743_PLA-LAT-EXT-1,PLACA LATERAL EXTERNA -1
L714,3051723,744PLACA,744_PLA-LAT-INT-1,PLACA LATERAL INTERNA-1
L715,3051723,745PLACA,745_PLA-LAT-EXT-2,PLACA LATERAL EXTERNA-2
L716,3051723,746PLACA,746_PLA-LAT-INT-2,PLACA LATERAL INTERNA-2
L717,3051723,747PLACA,747_PLA-LAT-EXT-3,PLACA LATERAL EXTERNA-3
L718,3051312,748PLACA,748_PLA-TIR-1,PLACA TIRA-1
L719,3051312,749PLACA,749_PLA-TIR-2,PLACA TIRA-2
L720,3051312,750PLACA,750_PLA-TIR-3,PLACA TIRA-3
L721,3051312,751PLACA,751_PLA-TIR-4,PLACA TIRA-4
L722,3051723,752PLACA,752_PLA-LAT-INT-3,PLACA LATERAL INTERNA-3
L723,3051313,753PLACA,753_PLA-FOR-1,PLACA FORRO-1
L724,3051722,754PLACA,754_PLA-FOR-LIN-1,PLACA FORRO LINGUETA-1
L725,3051723,755PLACA,755_PLA-LAT-EXT-4,PLACA LATERAL EXTERNA-4
L726,3051416,756PLACA,756_PLA-PASS-1,PLACA PASSADOR-1
L727,3051416,757PLACA,757_PLA-PASS-2,PLACA PASSADOR-2
L728,3051416,758PLACA,758_PLA-PASS-3,PLACA PASSADOR-3
L729,3051416,759PLACA,759_PLA-PASS-4,PLACA PASSADOR-4
L730,3051723,760PLACA,760_PLA-LAT-INT-4,PLACA LATERAL INTERNA-4
L731,3051723,761PLACA,761_PLA-LAT-EXT-5,PLACA LATERAL EXTERNA-5
L732,3051312,762PLACA,762_PLA-LOG-1,PLACA LOGO-1
L733,3051312,763PLACA,763_PLA-LOG-2,PLACA LOGO-2
L734,3050400,764PLACA,764_,
L735,3051312,765PLACA,765_PLA-FLG-1,PLACA FLAG-1
L736,3051312,766PLACA,766_PLA-FLG-2,PLACA FLAG-2
L737,3051723,767PLACA,767_PLA-LAT-INT-5,PLACA LATERAL INTERNA-5
L738,3051314,768PLACA,768_PLA-SOM-1,PLACA SOMBRA-1
L739,3051314,769PLACA,769_PLA-SOM-2,PLACA SOMBRA-2
L740,3051718,770PLACA,770_PLA-SOM-EXT-1,PLACA SOMBRA EXT-1
L741,3051718,771PLACA,771_PLA-SOM-INT-1,PLACA SOMBRA INT-1
L742,3050400,772PLACA,772_,
